epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,950.51,0.84269,4.04187,1.20553,0.21312,0.40619,0.28337,0.22567,0.76822,3.38308,1.12192,0.00017454,0.00017454,0.00017454
2,1712.29,0.75616,2.94641,1.07563,0.48706,0.51641,0.51297,0.42064,0.77133,2.56191,1.09879,0.000315236,0.000315236,0.000315236
3,4599.54,0.74003,2.28574,1.06398,0.62427,0.62726,0.66388,0.55305,0.73121,2.19184,1.06786,0.000421216,0.000421216,0.000421216
4,5344.86,0.69641,1.74407,1.0304,0.77924,0.69525,0.77747,0.65076,0.70832,1.50035,1.04781,0.000369778,0.000369778,0.000369778
5,6110.7,0.6721,1.41837,1.01468,0.85294,0.72327,0.82508,0.69384,0.68235,1.25441,1.02317,0.000317704,0.000317704,0.000317704
6,8246.12,0.63928,1.16464,0.99348,0.8626,0.77031,0.85287,0.72021,0.6642,1.00946,1.00872,0.00026563,0.00026563,0.00026563
7,9048.88,0.61317,1.00237,0.9731,0.91549,0.7908,0.88959,0.75771,0.62691,0.88978,0.9825,0.000213556,0.000213556,0.000213556
8,9867.01,0.59494,0.88867,0.9613,0.9129,0.81971,0.8962,0.76793,0.6239,0.80358,0.98329,0.000161482,0.000161482,0.000161482
9,10604.1,0.57317,0.79566,0.95141,0.92613,0.81858,0.90117,0.77194,0.60663,0.74867,0.96939,0.000109408,0.000109408,0.000109408
10,11280.8,0.5563,0.74913,0.93798,0.93884,0.82521,0.9087,0.78558,0.59103,0.70235,0.96363,5.7334e-05,5.7334e-05,5.7334e-05
